L1-APD1,L1-APD2,L2-APD1,L2-APD2,L3-APD1,L3-APD2,L4-APD1,L4-APD2
9.01,37.17,133.47,20.61,16.24,114.99,nan,113.47
7.52,34.44,133.46,26.42,16.55,115.67,nan,113.43
10.14,28.21,133.72,17.57,17.41,115.24,nan,114.48
9.59,33.51,133.52,19.52,15.66,115.51,nan,113.52
12.81,34.05,133.75,20.62,12.21,114.8,nan,113.03
7.03,35.56,133.11,17.17,11.55,114.68,nan,112.67
13.14,34.22,134.24,18.64,12.43,113.68,nan,112.33
9.38,31.13,134.28,24.18,14.46,113.63,nan,112.51
13.35,30.93,133.49,20.17,13.98,113.84,nan,113.4
11.22,32.5,134.74,21.06,13.07,113.67,nan,113.91
12.72,30.72,134.7,20.03,13.5,114.16,nan,113.8
1.11,30.58,134.77,13.01,13.0,113.9,nan,113.23
11.51,29.61,133.56,7.68,12.47,112.77,nan,113.18
8.12,35.47,131.94,19.09,14.8,112.77,nan,111.86
16.09,32.65,129.16,22.93,18.46,112.84,nan,112.88
11.08,30.8,133.14,15.35,12.45,113.37,nan,112.41
11.03,33.23,133.88,21.13,11.49,113.33,nan,112.36
nan,31.55,134.49,20.54,12.25,113.75,nan,112.95
11.46,29.04,132.89,nan,13.99,114.28,nan,112.48
8.24,37.35,133.25,38.0,16.86,115.12,nan,114.75
9.39,34.45,133.74,21.24,15.22,115.43,nan,115.11
12.35,30.69,133.79,18.61,14.79,115.85,nan,115.15
11.27,29.63,134.15,22.82,16.71,115.96,nan,114.54
